umbrella_id	xtrop	human	mouse	rat	zebrafish	chicken	drosphila	worm
478053	394602	51095	70047	312616	415249	416103		
478063		8928	14106	300054	57930			
478073	496513	2494	26424	60349	30749	395961		
478083	619587	6899	21380	360737	368206	771328		
478093	100101679	9572	217166	252917	494487	431047		
478103	407884	4924	18220	84595	751753		39978	
478112	550080	10412	59050	171456	321769	427206		
478120	407897	1452	93687	113927	192307	395924		
478130	101733663	3223	15425	252885	30346	100858368		
478130	101733663	3223	15425	252885	58045	100858368		
478140	394454	3039	15122		30507	416652		
478148	100496740	2661	14566	59304	497643	404533		
478155	100491079	717	12263	24231		419574		
478164	100487142	2624	14461	25159	30480	416018		
478164	100487142	2624	14461	25159	436962	416018		
478174		6523	20537	25552	393654	395496		
478183	100485289	2658	12165	290921	563287	396412		
478189	100196922	8470	234214	114901	563408	422719		
478189	100196922	8470	234214	114901	571008	422719		
478195	100492271	7049	21814	29610	100332594	374251		
478201	100038188	8862	30878	58812	798375	101747811		
478209	100497693	8322	14366	64558	30363	373887		
478219	594977	8802	56451	114597	436850	422932		
478229	100038057	51562	217588	362740	402869	423329		
478235	100038154	5802	19280	25529	100526672	396375		
478235	100038154	5802	19280	25529	140820	396375		
478245	100485724	80326	22409	316527	30171	429040		
478255	100101775	25928	66042	266803	550261	378800		
478255	100101775	25928	66042	266803	564783	378800		
478264	100101779	6929	21415	171046	30310	395146		
478264	100101779	6929	21415	171046	664768	395146		
478273	100485685	5020	18429	25504	352920	768516	38288	
478279	100038151	79969	73242	361789	406389	107051422		
478287	100489343	123041	238384	314396		772279		
478293	594989	9364	100972	117049	326923	422839		
478300	407883	388	11852	64373		395734		
478309	100491672	7704	235320	353227	323269	419759		
478309	100491672	7704	235320	353227	569773	419759		
478316	100487936	8326	14371	266608	557447	373886		
478316	100487936	8326	14371	266608	58023	373886		
478326	779640	80864	81701	406166				
478335	394669	7919	53817	114612	393917			
478344	100486982	11023	22326	64571	373870	395582		
478354	100038189	2266	99571	24367	406327	395837		
478364	548420	9770	215653	311437	100006341	419521		
478364	548420	9770	215653	311437	447938	419521		
478373	100145434	5789	19266	313278	100330629	431602		
478382	779523	5836	110095	64035	493916	378909		
478391	100488046	121599	20728	314711	447882	427915		
478409	100101761	9975	353187	259241		396125		
478418	100494114	5597	50772	58840	565830	415419		
478427	100492736	6424	20379	89803		420732		
478436	100496373	9479	19099	116457	100333948	423202		
478436	100496373	9479	19099	116457	100537717	423202		
478442	100496333	4734	17999	25489		415406	39958	
478451	548775	1406	12951	60446	81881	103875463		
478461	100038058	3232	15434	288152	30349	431212		
478471	100487848	116448	50914	60394	100001484			
478478	100489153	91608	276952	303382	100536782	771592		
478482	100488153	1081	12640	116700	402987	421829		
478492	779621	6258	20183	83574	30464	396231		
478492	779621	6258	20183	83574	436617	396231		
478501	100127174	10631	50706	361945	337176	395429		
478501	100127174	10631	50706	361945	378983	395429		
478511	100494917	22950	20534	298805	562351	421420		
478517	100038059				30260		40030	
478524	100038155	3212	103889	100361765	30338	429940		
478534	780120	6095	19883	300807	554722	415377		
478534	780120	6095	19883	300807	564951	415377		
478543	100038190	2304	110805	192274	567676	768789		
478552	100036631	3915	226519	117036	286832	424442		
478568	100170179	904	12455	315291	334465	100859215		
478577	779617	92737	227325	316573	100332110	424786		
478586	548715	7046	21812	29591	560578	374094		
478586	548715	7046	21812	29591	792928	374094		
478595		9308	12522	361226	561001	420838		
478599	100101737	10817	107971	316213	100330147	419923		
478608	100489301	157848	74561	685102	558978	431254		
478621	780251	22980	66855	292082	445817	425450		
478628	496523	7136	21953	29389	494164	396386		
478638	493325	51339	59036	500666	405799	723789		
478655	100101692	22881	140577	500430	100330565	421813		
478655	100101692	22881	140577	500430	378477	421813		
478662	733756	5580	18753	170538	100150844	415905		
478662	733756	5580	18753	170538	334571	415905		
478671	100495320	3667	16367	25467	559281	101749888		
478680	548565	2314	14248	287375	560281	416515	33110	
478688	100038304	7917	224727	94342	83910			
478698	549077	2264	14186	25114	100000160	395603		
478708	779776	8812	12454	500715	569432	423446		
478717	100487877	6256	20181	25271	30464	417143		
478727	493428	3615	23918	301005	317745	416058		
478737	395000	1159	12716			374002		
478745	448767	1030	12579	25164		395076		
478751	100101680	79109	227743	296648	100537196	395627		
478760	100493798	6496	20473	78974	30635	378786		
478760	100493798	6496	20473	78974	30636	378786		
478770	100038060	2243	14161	361969	378986	396307		
478788	493501	6862	20997	292301	100004296	395782	31863	
478788	493501	6862	20997	292301	30399	395782	31863	
478797	100488393	5428	18975	85472	100150924	404292		
478806	100487299	80144	231470	289486	563428	422506		
478812	100490861	8323	14368	282581	393533	378788		
